collection_item_link,title,abstract,transcript_url,in_collections,copyright_status,date_published,authors,subjects,material_type,publishers,language,pages,part_of,issn,permalink,filename,start_page,end_page,transcript_length
https://d.lib.msu.edu/jamr/81,A critical appraisal of the communication gap in the liberation struggle,"This paper calls for a critical appraisal of the use of the politically loaded words which are normally associated with liberation struggles. It suggests that these terms are often vaguely defined and mean different things to different publics. Their constant use, therefore, tends to obscure the message and to create a communication gap. The writer subscribes to the view that, contrary to the intention of the message senders, many of the descriptors used present a denigrating image of the groups they set out to help and that both these descriptors as well as the criteria for classifying the groups should be reconsidered. This she thinks, is one of the important assignments which development communicators should undertake.",https://d.lib.msu.edu/jamr/81/FULL_TEXT/view,Africa Media Review (/jamr),In Copyright,1987,"Sybil, L. James (/search?fq=name_author:Sybil%2C%5C%20L.%5C%20James)","Communication in politics

Reference (Linguistics)

Language and languages--Political aspects (/search?fq=subject_display:Communication%5C%20in%5C%20politics)",Articles (/search?fq=genre_aat:Articles),Institute for Communication Development and Research (African Council on Communication Education) (/search?fq=name_publisher:Institute%5C%20for%5C%20Communication%5C%20Development%5C%20and%5C%20Research%5C%20%5C%28African%5C%20Council%5C%20on%5C%20Communication%5C%20Education%5C%29),English,Pages 1-8,Africa media review. Vol. 2 no. 1 (1987),0258-4913,https://n2t.net/ark:/85335/m5p26t584 (https://n2t.net/ark:/85335/m5p26t584),africa_media_review_pdfs/jamr_81.pdf,1,8,19404
https://d.lib.msu.edu/jamr/56,A proposal for new communication research methodologies in Africa,"This article looks at mass communication research in the African cultural and traditional context and suggests some innovative approaches that would enhance local communication research endeavours. It examines how African peoples, cultures, institutions and communication environments impede or facilitate social research. The author calls for indigenous efforts in the construction of new theories and methodologies in communication research that would appropriately fit the African context of development.",https://d.lib.msu.edu/jamr/56/FULL_TEXT/view,Africa Media Review (/jamr),In Copyright,1986-06,"Obeng-Quaidoo, Isaac (/search?fq=name_author:Obeng%5C-Quaidoo%2C%5C%20Isaac)","Communication--Research

Communication--Research--Methodology

Africa (/search?fq=subject_display:Communication%5C-%5C-Research)",Articles (/search?fq=genre_aat:Articles),Institute for Communication Development and Research (African Council on Communication Education) (/search?fq=name_publisher:Institute%5C%20for%5C%20Communication%5C%20Development%5C%20and%5C%20Research%5C%20%5C%28African%5C%20Council%5C%20on%5C%20Communication%5C%20Education%5C%29),English,Pages 89-98,Africa media review. Vol. 1 no. 1 (1986 June),0258-4913,https://n2t.net/ark:/85335/m52r3s00s (https://n2t.net/ark:/85335/m52r3s00s),africa_media_review_pdfs/jamr_56.pdf,89,98,25525
https://d.lib.msu.edu/jamr/39,A return to basics : media rights as fundamental human rights,"This paper presents a challenging and radical contribution to the debate about media laws and politics in Kenya. The internationalist universalist dimension is critical and eye-opening. It is a lampoonery of the dichotomised 'them' against 'us' axis upon which the discourse on media legislation reforms revolves. Instead, the author recommends that the debaters should embrace an important trilogy: the state, the media and the citizen. This, the author argues, will help in removing the debate away from the infrastructure of a free media as the only bone of contention, to include the 'spirit"" of the media laws. The interest of the argument, therefore is to create a people-centered and responsive media. The people are integral stakeholders in the media industry, and as is, it is argued, must be as protected by the constitution as the media rights. The foregoing premise logically lends itself to the conclusion that media rights are human rights. If so then the author insist that the debate about media reforms is ill-informed if it doesn't include constitutional reform. But he goes past this to embrace a universalistic approach to the review of media laws. This is consistent with the paradigm shift in the development and application of the modern human rights laws and international politics, which started with the Universal Declaration of Human Rights (1948), the Genocide Convention (1948), the Geneva Convention of 1949, the Convention of Refugees (1951), the International Government on Civil and Political Rights (1966) and the International Covenant on Economic, Social and Cultural Rights (1966). Within these internationally binding legal instruments, the author says, the media can find supportive articles for their demand for the inclusion of media rights as human rights. In this new internationalist thinking, the nationalistic or territorial approach to human rights issues have been found to be wanting as concerned governments have repeatedly violated national laws with impunity. There is no guarantee that national media laws will not be derogated by the despotic regimes again. Having traced the origins of the universalisation of human rights to the wartime atrocities of Nazi regime, the paper contends that the media today is an important international diplomatic player in conflict prevention, management and resolution to be left at the mercy of the draconian whims of an authoritarian government. The author declares that freedom of expression is the first freedom. Therefore it ought not to be negotiable. The paper laments mistreatment of the Kenyan journalists and their institutions by the powers that be.",https://d.lib.msu.edu/jamr/39/FULL_TEXT/view,Africa Media Review (/jamr),In Copyright,1997,"Mwagiru, Makũmi (/search?fq=name_author:Mwagiru%2C%5C%20Mak%C5%A9mi)","Mass media--Law and legislation

Human rights

Freedom of information

Kenya (/search?fq=subject_display:Mass%5C%20media%5C-%5C-Law%5C%20and%5C%20legislation)",Articles (/search?fq=genre_aat:Articles),Institute for Communication Development and Research (African Council on Communication Education) (/search?fq=name_publisher:Institute%5C%20for%5C%20Communication%5C%20Development%5C%20and%5C%20Research%5C%20%5C%28African%5C%20Council%5C%20on%5C%20Communication%5C%20Education%5C%29),English,Pages 88-104,Africa media review. Vol. 11 no. 2 (1997),0258-4913,https://n2t.net/ark:/85335/m59z93f0v (https://n2t.net/ark:/85335/m59z93f0v),africa_media_review_pdfs/jamr_39.pdf,88,104,34981
https://d.lib.msu.edu/jamr/228,A systemic approach to information management at the grassroots,"This paper discusses a systemic approach to development information management at the grassroots. It proceeds by defining the term ""systemic"" and by re-deflning and/or reconceptualizing ""grassroots"" as a development concept. A systemic approach to information management at the grassroots must address not only rural areas but also urban peripheries. For effective grassroots information management, there must be a shift in focus from endusers to decision-makers. Horizontal communication channels must be harnessed to sensitize and activate all sectors of society for participatory decision-making at the grassroots.",https://d.lib.msu.edu/jamr/228/FULL_TEXT/view,Africa Media Review (/jamr),In Copyright,1993,"Soola, E. O. (/search?fq=name_author:Soola%2C%5C%20E.%5C%20O.)","Information resources management

Economic development--Decision making

Communication in economic development (/search?fq=subject_display:Information%5C%20resources%5C%20management)",Articles (/search?fq=genre_aat:Articles),Institute for Communication Development and Research (African Council on Communication Education) (/search?fq=name_publisher:Institute%5C%20for%5C%20Communication%5C%20Development%5C%20and%5C%20Research%5C%20%5C%28African%5C%20Council%5C%20on%5C%20Communication%5C%20Education%5C%29),English,Pages 44-51,Africa media review. Vol. 7 no. 2 (1993),0258-4913,https://n2t.net/ark:/85335/m5mc8vj2t (https://n2t.net/ark:/85335/m5mc8vj2t),africa_media_review_pdfs/jamr_228.pdf,44,51,16996
https://d.lib.msu.edu/jamr/251,A systems model for political communication : a case study in academic mythmaking,"This article critiques a specific systems theorist in terms of academic mythmaking. Barthes (1972) argues that myths contain a kernel of truth for ""the form does not suppress meaning, it only impoverishes it. But the kernel is hardly the whole corn, and if it is substituted for the whole, it will mislead any attempt to understand that whole. In this paper, I will show how this self-deception affects the systems theorist's analysis, and his practical efforts to transform social processes outside the confines of academia. The ""kernel of truth"" is taken as the whole truth, and hence distorts, misleads and mythologises concepts and processes upon which the analysis is based. Three articles are critically examined in view of the potential of self-deception and show that the systems analysis discussed cannot provide new insights into the ""complex process of political communication"" beyond entrenching the prevailing order.",https://d.lib.msu.edu/jamr/251/FULL_TEXT/view,Africa Media Review (/jamr),In Copyright,1994,"Heydenrych, Kevin (/search?fq=name_author:Heydenrych%2C%5C%20Kevin)","Myth

Communication in politics (/search?fq=subject_display:Myth)",Articles (/search?fq=genre_aat:Articles),Institute for Communication Development and Research (African Council on Communication Education) (/search?fq=name_publisher:Institute%5C%20for%5C%20Communication%5C%20Development%5C%20and%5C%20Research%5C%20%5C%28African%5C%20Council%5C%20on%5C%20Communication%5C%20Education%5C%29),English,Unpaged,Africa media review. Vol. 8 no. 1 (1994),0258-4913,https://n2t.net/ark:/85335/m5np20m2h (https://n2t.net/ark:/85335/m5np20m2h),africa_media_review_pdfs/jamr_251.pdf,0,0,57422
https://d.lib.msu.edu/jamr/28,"Action media : consultation, collaboration and empowerment in health promotion","Communication for health promotion is a complex process that is further problematised by limitations within communication theory. Linear models of communication give primacy to the communicator and see communication as a largely objective process. These models, which are often referred to as ""communicator-message-receiver"" (CMR) models, incorporate the communicator as a primary agent in determining the nature of information and the mechanisms for information flow. Action media is presented as a methodology for the development of media products that integrate the interests of both the communicator and representatives of target audiences within a health promotion context. The methodology has its roots in participatory action research (PAR) approaches and incorporates qualitative contextual research with a media development process. It is not intended that the methodology be perceived as an exclusive and absolute means for the development of health promotion materials. Rather, it adds to the range of methodologies health promoters can apply in media development, whilst also providing important insights into context-based activities that are consultative, collaborative and empowering. Action Media as it pertains to health promotion, has the following elements: Identification of significant health challenges; identification of sufficiently homogenous groups within defined geographic areas and collaboration with individuals within each context to co-facilitate workshops. The media products that emerge typically reveal deep insights into perspectives of the target group, are immediately relevant to the participant' s peer communities, and may be relevant nationally as health promotion products.The methodology differs considerably from producer centric approaches in that it sees contexts of media utility as dynamic, and furthermore, sets out to generate media products that are supportive of action, rather than simply as vehicles for information. Within the complex contexts of media development, the Action Media methodology provides insight into the potential for integration and empowerment of individuals and groups within target communities. It demonstrates a replicable process that provides for the development of deeply contextualised media products on the one hand, and qualitative understandings of community contexts on the other.",https://d.lib.msu.edu/jamr/28/FULL_TEXT/view,Africa Media Review (/jamr),In Copyright,1997,"Parker, Warren (/search?fq=name_author:Parker%2C%5C%20Warren)","Drama in health education

Health promotion (/search?fq=subject_display:Drama%5C%20in%5C%20health%5C%20education)",Articles (/search?fq=genre_aat:Articles),Institute for Communication Development and Research (African Council on Communication Education) (/search?fq=name_publisher:Institute%5C%20for%5C%20Communication%5C%20Development%5C%20and%5C%20Research%5C%20%5C%28African%5C%20Council%5C%20on%5C%20Communication%5C%20Education%5C%29),English,Pages 45-63,Africa media review. Vol. 11 no. 1 (1997),0258-4913,https://n2t.net/ark:/85335/m5js9m96m (https://n2t.net/ark:/85335/m5js9m96m),africa_media_review_pdfs/jamr_28.pdf,45,63,33199
https://d.lib.msu.edu/jamr/25,"Action research, participatory communication : why governments don't listen",No abstract found,https://d.lib.msu.edu/jamr/25/FULL_TEXT/view,Africa Media Review (/jamr),In Copyright,1997,"Tomaselli, Keyan G., 1948- (/search?fq=name_author:Tomaselli%2C%5C%20Keyan%5C%20G.%2C%5C%201948%5C-)","Participant observation

Communication policy

Communication--Research--Methodology

Africa (/search?fq=subject_display:Participant%5C%20observation)",Editorials (/search?fq=genre_aat:Editorials),Institute for Communication Development and Research (African Council on Communication Education) (/search?fq=name_publisher:Institute%5C%20for%5C%20Communication%5C%20Development%5C%20and%5C%20Research%5C%20%5C%28African%5C%20Council%5C%20on%5C%20Communication%5C%20Education%5C%29),English,Pages 1-9,Africa media review. Vol. 11 no. 1 (1997),0258-4913,https://n2t.net/ark:/85335/m5hq3w15k (https://n2t.net/ark:/85335/m5hq3w15k),africa_media_review_pdfs/jamr_25.pdf,1,9,15421
https://d.lib.msu.edu/jamr/219,Adult attitude towards mass media in Nigeria,"This study assesses adult attitude towards the mass media in Nigeria. The study answers two questions: (i) What are adult sentiments about the mass media in Nigeria? and (ii) Are these sentiments varied by demographic variables such as location of residence, ethnicity and gender? The study analyzed data obtained from 367 adults, drawn from three ethnic groups in Plateau State, Nigeria. The findings show a generally favourable adult attitude towards the mass media.",https://d.lib.msu.edu/jamr/219/FULL_TEXT/view,Africa Media Review (/jamr),In Copyright,1993,"Amienyi, Osabuohien P. (/search?fq=name_author:Amienyi%2C%5C%20Osabuohien%5C%20P.)","Mass media--Public opinion

Nigeria--Plateau State (/search?fq=subject_display:Mass%5C%20media%5C-%5C-Public%5C%20opinion)",Articles (/search?fq=genre_aat:Articles),Institute for Communication Development and Research (African Council on Communication Education) (/search?fq=name_publisher:Institute%5C%20for%5C%20Communication%5C%20Development%5C%20and%5C%20Research%5C%20%5C%28African%5C%20Council%5C%20on%5C%20Communication%5C%20Education%5C%29),English,Pages 19-32,Africa media review. Vol. 7 no. 1 (1993),0258-4913,https://n2t.net/ark:/85335/m57s7mv48 (https://n2t.net/ark:/85335/m57s7mv48),africa_media_review_pdfs/jamr_219.pdf,19,32,27251
https://d.lib.msu.edu/jamr/262,Advertisements,No abstract found,https://d.lib.msu.edu/jamr/262/FULL_TEXT/view,Africa Media Review (/jamr),In Copyright,1994,,"NGO Forum (1995 : Copenhagen, Denmark) (/search?fq=subject_display:NGO%5C%20Forum%5C%20%5C%281995%5C%20%5C%3A%5C%20Copenhagen%2C%5C%20Denmark%5C%29)",Advertisements (/search?fq=genre_aat:Advertisements),Institute for Communication Development and Research (African Council on Communication Education) (/search?fq=name_publisher:Institute%5C%20for%5C%20Communication%5C%20Development%5C%20and%5C%20Research%5C%20%5C%28African%5C%20Council%5C%20on%5C%20Communication%5C%20Education%5C%29),English,Unpaged,Africa media review. Vol. 8 no. 2 (1994),0258-4913,https://n2t.net/ark:/85335/m5nk39715 (https://n2t.net/ark:/85335/m5nk39715),africa_media_review_pdfs/jamr_262.pdf,0,0,799
https://d.lib.msu.edu/jamr/257,Advertisements,No abstract found,https://d.lib.msu.edu/jamr/257/FULL_TEXT/view,Africa Media Review (/jamr),In Copyright,1994,,"African Council on Communication Education

Publishing

Textbooks (/search?fq=subject_display:African%5C%20Council%5C%20on%5C%20Communication%5C%20Education)",Publishers' advertisements (/search?fq=genre_aat:Publishers%27%5C%20advertisements),Institute for Communication Development and Research (African Council on Communication Education) (/search?fq=name_publisher:Institute%5C%20for%5C%20Communication%5C%20Development%5C%20and%5C%20Research%5C%20%5C%28African%5C%20Council%5C%20on%5C%20Communication%5C%20Education%5C%29),English,Unpaged,Africa media review. Vol. 8 no. 2 (1994),0258-4913,https://n2t.net/ark:/85335/m5zc7vx0h (https://n2t.net/ark:/85335/m5zc7vx0h),africa_media_review_pdfs/jamr_257.pdf,0,0,1034
